size,group_indices,group_points,diameters,P_fail_lbf,centroid_x,centroid_y,sum_r2
4,"4,7,12,14","(1.500,0.500);(1.500,1.000);(2.500,1.500);(2.000,2.000)","0.12500,0.18800,0.12500,0.12500",155.0174872774396,1.875,1.25,1.9375
4,"4,8,10,15","(1.500,0.500);(2.000,1.000);(1.500,1.500);(2.500,2.000)","0.12500,0.12500,0.12500,0.18800",155.0174872774396,1.875,1.25,1.9375
4,"4,9,10,14","(1.500,0.500);(2.500,1.000);(1.500,1.500);(2.000,2.000)","0.12500,0.12500,0.12500,0.12500",155.0174872774396,1.875,1.25,1.9375
4,"5,7,12,13","(2.000,0.500);(1.500,1.000);(2.500,1.500);(1.500,2.000)","0.25000,0.18800,0.12500,0.12500",155.0174872774396,1.875,1.25,1.9375
4,"5,9,10,13","(2.000,0.500);(2.500,1.000);(1.500,1.500);(1.500,2.000)","0.25000,0.12500,0.12500,0.12500",155.0174872774396,1.875,1.25,1.9375
4,"6,7,11,13","(2.500,0.500);(1.500,1.000);(2.000,1.500);(1.500,2.000)","0.18800,0.18800,0.25000,0.12500",155.0174872774396,1.875,1.25,1.9375
4,"6,8,10,13","(2.500,0.500);(2.000,1.000);(1.500,1.500);(1.500,2.000)","0.18800,0.12500,0.12500,0.12500",155.0174872774396,1.875,1.25,1.9375
4,"1,5,9,10","(1.500,0.000);(2.000,0.500);(2.500,1.000);(1.500,1.500)","0.18800,0.25000,0.12500,0.12500",155.01748727743964,1.875,0.75,1.9375
4,"1,6,8,10","(1.500,0.000);(2.500,0.500);(2.000,1.000);(1.500,1.500)","0.18800,0.18800,0.12500,0.12500",155.01748727743964,1.875,0.75,1.9375
4,"4,8,12,13","(1.500,0.500);(2.000,1.000);(2.500,1.500);(1.500,2.000)","0.12500,0.12500,0.12500,0.12500",155.01748727743964,1.875,1.25,1.9375
4,"4,9,11,13","(1.500,0.500);(2.500,1.000);(2.000,1.500);(1.500,2.000)","0.12500,0.12500,0.25000,0.12500",155.01748727743964,1.875,1.25,1.9375
4,"1,5,6,14","(1.500,0.000);(2.000,0.500);(2.500,0.500);(2.000,2.000)","0.18800,0.25000,0.18800,0.12500",156.19006108323998,2.0,0.75,2.75
4,"2,10,11,15","(2.000,0.000);(1.500,1.500);(2.000,1.500);(2.500,2.000)","0.12500,0.12500,0.25000,0.18800",156.19006108323998,2.0,1.25,2.75
4,"2,10,12,14","(2.000,0.000);(1.500,1.500);(2.500,1.500);(2.000,2.000)","0.12500,0.12500,0.12500,0.12500",156.19006108323998,2.0,1.25,2.75
4,"2,11,12,13","(2.000,0.000);(2.000,1.500);(2.500,1.500);(1.500,2.000)","0.12500,0.25000,0.12500,0.12500",156.19006108323998,2.0,1.25,2.75
4,"2,4,6,14","(2.000,0.000);(1.500,0.500);(2.500,0.500);(2.000,2.000)","0.12500,0.12500,0.18800,0.12500",156.19006108323998,2.0,0.75,2.75
4,"3,4,5,14","(2.500,0.000);(1.500,0.500);(2.000,0.500);(2.000,2.000)","0.18800,0.12500,0.25000,0.12500",156.19006108323998,2.0,0.75,2.75
4,"2,6,12,13","(2.000,0.000);(2.500,0.500);(2.500,1.500);(1.500,2.000)","0.12500,0.18800,0.12500,0.12500",156.19510329463006,2.125,1.0,3.1875
4,"3,5,12,13","(2.500,0.000);(2.000,0.500);(2.500,1.500);(1.500,2.000)","0.18800,0.25000,0.12500,0.12500",156.19510329463006,2.125,1.0,3.1875
4,"3,6,11,13","(2.500,0.000);(2.500,0.500);(2.000,1.500);(1.500,2.000)","0.18800,0.18800,0.25000,0.12500",156.19510329463006,2.125,1.0,3.1875
4,"4,6,7,10","(1.500,0.500);(2.500,0.500);(1.500,1.000);(1.500,1.500)","0.12500,0.18800,0.18800,0.12500",156.42976686167572,1.75,0.875,1.4375
4,"4,7,10,12","(1.500,0.500);(1.500,1.000);(1.500,1.500);(2.500,1.500)","0.12500,0.18800,0.12500,0.12500",156.42976686167572,1.75,1.125,1.4375
4,"5,10,11,13","(2.000,0.500);(1.500,1.500);(2.000,1.500);(1.500,2.000)","0.25000,0.12500,0.25000,0.12500",156.42976686167572,1.75,1.375,1.4375
4,"7,9,10,13","(1.500,1.000);(2.500,1.000);(1.500,1.500);(1.500,2.000)","0.18800,0.12500,0.12500,0.12500",156.42976686167572,1.75,1.375,1.4375
4,"2,5,9,15","(2.000,0.000);(2.000,0.500);(2.500,1.000);(2.500,2.000)","0.12500,0.25000,0.12500,0.18800",156.6702087869006,2.25,0.875,2.4375
4,"2,6,8,15","(2.000,0.000);(2.500,0.500);(2.000,1.000);(2.500,2.000)","0.12500,0.18800,0.12500,0.18800",156.6702087869006,2.25,0.875,2.4375
4,"3,8,12,14","(2.500,0.000);(2.000,1.000);(2.500,1.500);(2.000,2.000)","0.18800,0.12500,0.12500,0.12500",156.6702087869006,2.25,1.125,2.4375
4,"3,9,11,14","(2.500,0.000);(2.500,1.000);(2.000,1.500);(2.000,2.000)","0.18800,0.12500,0.25000,0.12500",156.6702087869006,2.25,1.125,2.4375
