size,group_indices,group_points,diameters,P_fail_lbf,centroid_x,centroid_y,sum_r2
5,"1,7,9,14,15","(1.500,0.000);(1.500,1.000);(2.500,1.000);(2.000,2.000);(2.500,2.000)","0.18800,0.18800,0.12500,0.12500,0.18800",315.9191570203994,2.0,1.2,3.8000000000000003
5,"1,3,10,13,15","(1.500,0.000);(2.500,0.000);(1.500,1.500);(1.500,2.000);(2.500,2.000)","0.18800,0.18800,0.12500,0.12500,0.18800",316.5778737076932,1.9,1.1,5.4
5,"1,4,5,7,11","(1.500,0.000);(1.500,0.500);(2.000,0.500);(1.500,1.000);(2.000,1.500)","0.18800,0.12500,0.25000,0.18800,0.25000",317.3631745111433,1.7,0.7,1.6
5,"1,2,7,11,15","(1.500,0.000);(2.000,0.000);(1.500,1.000);(2.000,1.500);(2.500,2.000)","0.18800,0.12500,0.18800,0.25000,0.18800",317.4942323979995,1.9,0.9,3.9000000000000004
5,"1,5,7,14,15","(1.500,0.000);(2.000,0.500);(1.500,1.000);(2.000,2.000);(2.500,2.000)","0.18800,0.25000,0.18800,0.12500,0.18800",317.4942323979995,1.9,1.1,3.9
5,"1,3,13,14,15","(1.500,0.000);(2.500,0.000);(1.500,2.000);(2.000,2.000);(2.500,2.000)","0.18800,0.18800,0.12500,0.12500,0.18800",317.747534223878,2.0,1.2,5.800000000000001
5,"1,5,7,8,11","(1.500,0.000);(2.000,0.500);(1.500,1.000);(2.000,1.000);(2.000,1.500)","0.18800,0.25000,0.18800,0.12500,0.25000",317.76532470391743,1.8,0.8,1.6
5,"5,6,7,8,11","(2.000,0.500);(2.500,0.500);(1.500,1.000);(2.000,1.000);(2.000,1.500)","0.25000,0.18800,0.18800,0.12500,0.25000",318.2508873199792,2.0,0.9,1.2
5,"1,10,11,13,14","(1.500,0.000);(1.500,1.500);(2.000,1.500);(1.500,2.000);(2.000,2.000)","0.18800,0.12500,0.25000,0.12500,0.12500",318.5003209443655,1.7,1.4,3.0
5,"1,8,11,12,15","(1.500,0.000);(2.000,1.000);(2.000,1.500);(2.500,1.500);(2.500,2.000)","0.18800,0.12500,0.25000,0.12500,0.18800",319.06089343366705,2.1,1.2,3.0
5,"6,7,8,12,15","(2.500,0.500);(1.500,1.000);(2.000,1.000);(2.500,1.500);(2.500,2.000)","0.18800,0.18800,0.12500,0.12500,0.18800",320.12757374078694,2.2,1.2,2.1
5,"3,5,9,12,15","(2.500,0.000);(2.000,0.500);(2.500,1.000);(2.500,1.500);(2.500,2.000)","0.18800,0.25000,0.12500,0.12500,0.18800",321.4468706546049,2.4,1.0,2.7
5,"1,2,7,8,15","(1.500,0.000);(2.000,0.000);(1.500,1.000);(2.000,1.000);(2.500,2.000)","0.18800,0.12500,0.18800,0.12500,0.18800",321.4773603495241,1.9,0.8,3.5
5,"1,7,8,14,15","(1.500,0.000);(1.500,1.000);(2.000,1.000);(2.000,2.000);(2.500,2.000)","0.18800,0.18800,0.12500,0.12500,0.18800",321.4773603495241,1.9,1.2,3.5
5,"1,11,12,14,15","(1.500,0.000);(2.000,1.500);(2.500,1.500);(2.000,2.000);(2.500,2.000)","0.18800,0.25000,0.12500,0.12500,0.18800",321.53544234782237,2.1,1.4,3.4
5,"5,6,9,11,15","(2.000,0.500);(2.500,0.500);(2.500,1.000);(2.000,1.500);(2.500,2.000)","0.25000,0.18800,0.12500,0.25000,0.18800",321.70966941339253,2.3,1.1,2.0
5,"1,2,10,14,15","(1.500,0.000);(2.000,0.000);(1.500,1.500);(2.000,2.000);(2.500,2.000)","0.18800,0.12500,0.12500,0.12500,0.18800",322.95442948162054,1.9,1.1,4.9
5,"1,2,4,14,15","(1.500,0.000);(2.000,0.000);(1.500,0.500);(2.000,2.000);(2.500,2.000)","0.18800,0.12500,0.12500,0.12500,0.18800",322.95442948162065,1.9,0.9,4.9
5,"1,3,11,14,15","(1.500,0.000);(2.500,0.000);(2.000,1.500);(2.000,2.000);(2.500,2.000)","0.18800,0.18800,0.25000,0.12500,0.18800",323.0838908952553,2.1,1.1,4.9
5,"1,6,9,12,15","(1.500,0.000);(2.500,0.500);(2.500,1.000);(2.500,1.500);(2.500,2.000)","0.18800,0.18800,0.12500,0.12500,0.18800",323.59206346540816,2.3,1.0,3.3
5,"1,4,7,11,15","(1.500,0.000);(1.500,0.500);(1.500,1.000);(2.000,1.500);(2.500,2.000)","0.18800,0.12500,0.18800,0.25000,0.18800",323.9767424014473,1.8,1.0,3.3000000000000003
5,"1,4,8,10,15","(1.500,0.000);(1.500,0.500);(2.000,1.000);(1.500,1.500);(2.500,2.000)","0.18800,0.12500,0.12500,0.12500,0.18800",323.9767424014473,1.8,1.0,3.3000000000000003
5,"1,5,7,10,15","(1.500,0.000);(2.000,0.500);(1.500,1.000);(1.500,1.500);(2.500,2.000)","0.18800,0.25000,0.18800,0.12500,0.18800",323.9767424014473,1.8,1.0,3.3000000000000003
5,"1,2,4,12,15","(1.500,0.000);(2.000,0.000);(1.500,0.500);(2.500,1.500);(2.500,2.000)","0.18800,0.12500,0.12500,0.12500,0.18800",324.00421996554854,2.0,0.8,4.3
